id,sport,brand,name,sku,current_url
rawlings-rso115w-fastpitch,fastpitch,Rawlings,"Rawlings Shut Out 11.5"" Fastpitch Softball Glove: RSO115W",rso115w,https://www.justballgloves.com/product/rawlings-shut-out-11-5--fastpitch-softball-glove--rso115w/?rfsn=9019128.19c2ec
rawlings-rso120w-fastpitch,fastpitch,Rawlings,"Rawlings Shut Out 12"" Fastpitch Softball Glove: RSO120W",rso120w,https://www.justballgloves.com/product/rawlings-shut-out-12--fastpitch-softball-glove--rso120w/?rfsn=9019128.19c2ec
rawlings-pro120sb-32cp-fastpitch,fastpitch,Rawlings,"Rawlings Heart of the Hide 12"" Fastpitch Softball Glove: PRO120SB-32CP",pro120sb-32cp,https://www.justballgloves.com/product/rawlings-heart-of-the-hide-12--fastpitch-softball-glove--pro120sb-32cp/?rfsn=9019128.19c2ec
rawlings-prosr32-fastpitch,fastpitch,Rawlings,"Rawlings Heart of the Hide SR32 Sierra Romero 12"" Fastpitch Softball Glove: PROSR32",prosr32,https://www.justballgloves.com/product/rawlings-heart-of-the-hide-sr32-sierra-romero-12--fastpitch-softball-glove--prosr32/?rfsn=9019128.19c2ec
rawlings-prosr32c-fastpitch,fastpitch,Rawlings,"Rawlings Heart of the Hide SR32 Sierra Romero 12"" Fastpitch Softball Glove: PROSR32C",prosr32c,https://www.justballgloves.com/product/rawlings-heart-of-the-hide-sr32-sierra-romero-12--fastpitch-softball-glove--prosr32c/?rfsn=9019128.19c2ec
rawlings-rla120-31wcb-fastpitch,fastpitch,Rawlings,"Rawlings Liberty Advanced 12"" Fastpitch Softball Glove: RLA120-31WCB",rla120-31wcb,https://www.justballgloves.com/product/rawlings-liberty-advanced-12--fastpitch-softball-glove--rla120-31wcb/?rfsn=9019128.19c2ec
rawlings-rla120-3gcb-fastpitch,fastpitch,Rawlings,"Rawlings Liberty Advanced Color Series 4.0 12"" Fastpitch Softball Glove: RLA120-3GCB",rla120-3gcb,https://www.justballgloves.com/product/rawlings-liberty-advanced-color-series-4-0-12--fastpitch-softball-glove--rla120-3gcb/?rfsn=9019128.19c2ec
rawlings-rr9sb120-4b-fastpitch,fastpitch,Rawlings,"Rawlings R9 12"" Fastpitch Softball Glove: RR9SB120-4B",rr9sb120-4b,https://www.justballgloves.com/product/rawlings-r9-12--fastpitch-softball-glove--rr9sb120-4b/?rfsn=9019128.19c2ec
rawlings-rr9sb120-6cb-fastpitch,fastpitch,Rawlings,"Rawlings R9 12"" Fastpitch Softball Glove: RR9SB120-6CB",rr9sb120-6cb,https://www.justballgloves.com/product/rawlings-r9-12--fastpitch-softball-glove--rr9sb120-6cb/?rfsn=9019128.19c2ec
rawlings-r9sb120u-6gb-fastpitch,fastpitch,Rawlings,"Rawlings R9 Contour 12"" Fastpitch Softball Glove: R9SB120U-6GB",r9sb120u-6gb,https://www.justballgloves.com/product/rawlings-r9-contour-12--fastpitch-softball-glove--r9sb120u-6gb/?rfsn=9019128.19c2ec
rawlings-rev207-18cb-fastpitch,fastpitch,Rawlings,"Rawlings REV1X 12.25"" Fastpitch Glove: REV207-18CB",rev207-18cb,https://www.justballgloves.com/product/rawlings-rev1x-12-25--fastpitch-glove--rev207-18cb/?rfsn=9019128.19c2ec
rawlings-rev207sb-fastpitch,fastpitch,Rawlings,"Rawlings REV1X 12.25"" Fastpitch Softball Glove: REV207SB",rev207sb,https://www.justballgloves.com/product/rawlings-rev1x-12-25--fastpitch-softball-glove--rev207sb/?rfsn=9019128.19c2ec
rawlings-pro1275sb-6cn-fastpitch,fastpitch,Rawlings,"Rawlings Heart of the Hide 12.75"" Fastpitch Softball Glove: PRO1275SB-6CN",pro1275sb-6cn,https://www.justballgloves.com/product/rawlings-heart-of-the-hide-12-75--fastpitch-softball-glove--pro1275sb-6cn/?rfsn=9019128.19c2ec
rawlings-rr9sb130-6b-fastpitch,fastpitch,Rawlings,"Rawlings R9 13"" Fastpitch Softball Glove: RR9SB130-6B",rr9sb130-6b,https://www.justballgloves.com/product/rawlings-r9-13--fastpitch-softball-glove--rr9sb130-6b/?rfsn=9019128.19c2ec
rawlings-rso130w-fastpitch,fastpitch,Rawlings,"Rawlings Shut Out 13"" Fastpitch Softball Glove: RSO130W",rso130w,https://www.justballgloves.com/product/rawlings-shut-out-13--fastpitch-softball-glove--rso130w/?rfsn=9019128.19c2ec
rawlings-rsocm315w-fastpitch,fastpitch,Rawlings,"Rawlings Shut Out 31.5"" Fastpitch Softball Glove: RSOCM315W",rsocm315w,https://www.justballgloves.com/product/rawlings-shut-out-31-5--fastpitch-softball-glove--rsocm315w/?rfsn=9019128.19c2ec
rawlings-pro125sb-15cb-fastpitch,fastpitch,Rawlings,"Rawlings Heart of the Hide 12.5"" Fastpitch Softball Glove: PRO125SB-15CB",pro125sb-15cb,https://www.justballgloves.com/product/rawlings-heart-of-the-hide-12-5--fastpitch-softball-glove--pro125sb-15cb/?rfsn=9019128.19c2ec
